country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Colombia,,,,,,,,,,,,,,,,,,,,,,,2.44,2.11,2.16,1.7,1.68,1.83,1.59,2.47,1.59,7.22,7.87,9.23,8.28,7.93,3.94,6.17,6.32,7.28,7,6.96,7.39,6.91,6.64,6.37,5.72,5.91
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.9,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.1,,,,,,,31.1,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.22,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,3.84,4.87,3.7,6.24,4.92,3.79,4.23,3.74,4.96,3.86,4.1,3.97,4.22,3.34,3.55,,3.61,3.53,3.46,3.2,2.76,2.62,2.33,2.86,2.98,3.31,4.12,3.7,4.01,3.63,3.19
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.6,23.3,,,21.4,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4,11.5,10,8.96,8.24,7.76,7.6,6.64,5.24,4.01,3.61,3.72,3.6,3.87,4.3,4.77,3.79,2.44,2.3,2.82,2.03,1.63
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.02,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.64,6.17,6.13,6.5,6.19,4.78,3.56,2.71,3.01,3.43,2.8,2.33,2.32,2.13,2.15,1.43,1.34,0.86
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,0.42,0.65,0.83,0.78,0.64,0.81,0.98,0.99,1.16,1.18,1.26,1.1,1.25,1.27,1.07,1.03,0.98,1.05,0.97,1,1.59,1.07,1.05,0.93,0.84
Denmark,,,,,,,,,,,,,,6.65,5.57,5.29,4.7,4.83,4.51,3.97,4,3.82,3.65,3.61,2.9,2.28,1.82,2.16,2.43,1.92,1.82,1.47,1.45,1.3,1.5,1.39,1.2,0.8,0.52,0.52,0.47,0.37,0.38,0.25,0.25,0.34,0.86,0.47
Dominica,,,,,,,,,,,,,,,,,,,,,,2.9,,,,,,3.35,,1.87,,1.98,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,3.67,3.89,4.39,4.49,4,2.75,2.87,3,2.79,2.13,2.02,1.78,1.75,1.74,4.22,2.9,2.9,5.51,2.84,2.83,2.67,2.27,1.99,2.38,3.38,3.41,2.79
Ecuador,,,,,,,,,,,,,,,,,,,7.02,8.16,11.3,10.4,11.6,10.6,11,12.5,10.9,8.78,10.8,9.91,18.6,21.3,8.64,15,19.4,16.4,19.5,17.6,17.6,17.9,15.8,16,16.8,16.3,14.4,17.1,19.4,20.4
Egypt,,,,,,,,,,,,,,,,,,,,,,,,32.8,33.5,29.8,,30,23.3,22,26,17,19.5,25.8,32.1,31.5,32.6,33.9,34.7,33.2,29.3,30.1,27.5,34.6,36.7,39.9,23.4,26.3
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,8.64,8.09,8.32,9.37,7,10.6,8.57,7.37,10.6,8.6,9.03,7.72,10.3,9.91,9.97,7.47,7.17,7.6,8.09,7.99,8.46,7.94,7.95,8.87,8.15
Equatorial Guinea,,,,,,,,,,,,,,76.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,1.9,,2.38,2.78,3.41,,1.86,1.99,1.91,1.14,0.98,0.44,0.31,0.17,0.15,0.21,0.2,0.17,0.3,0.22,0.18,0.13,0.23,0.34,0.26,0.22,0.19,0.06,0.19
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.7,,,,,,64.4,,,,,,,,58.6,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3,,,,,,33.1,,,0.27,,1.06,
Finland,,,,,,,,,,,,,,,,,,,,1.17,1.09,0.96,0.93,0.99,0.8,1.35,1.39,0.84,0.5,0.76,0.61,0.59,0.49,0.4,0.32,0.44,0.49,0.45,0.42,0.41,0.49,0.35,0.4,0.33,0.38,0.37,0.47,0.35
France,,,,,,,,,,,,,,9,9.12,8.52,7.86,7.15,6.59,5.77,5.51,5,4.92,4.38,4.22,3.78,3.41,3.22,2.87,2.79,2.31,2.04,1.96,2.01,1.85,1.54,1.45,1.05,0.99,1.01,0.85,0.82,0.7,0.7,0.7,0.64,0.65,0.55
