country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
South Korea,50.4,50.5,51.7,49.6,49.1,47.9,44.5,41.9,39.3,37,37.4,38.2,36.4,33.9,32.5,30.6,29.2,27.4,27.3,25.6,24.4,22.7,21.9,23.1,22.2,21.1,20.4,19.6,22.2,20.1,19.3,18.1,17.1,16.6,14.7,14,13.4,12.7,12.4,11.8,10.8,10.6,10.4,10,9.7,9.03,8.66,8.38
Spain,,,,,,,,,,,,,,,,,14.3,13.3,12.5,11.8,10.5,9.58,8.64,8.36,7.48,6.45,5.81,5.17,4.76,4.13,3.69,3.33,2.89,2.68,2.32,2.31,1.92,1.55,1.39,1.16,1.01,0.97,0.89,0.79,0.78,0.71,0.58,0.55
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,18.7,18.8,19.1,18.9,18.3,27,24.8,26.5,21.3,23,21.3,19.8,18.2,21.7,21.7,22.4,22.3,22.4,23.3,19.4,20.5,20.6,,,17.7
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,1.33,,,,,,,,,,0.81,,,,,,,,,,,,,,,,
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,4.15,2.59,3.04,2.17,2.19,1.1,1.57,1.44,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,,,,,,,,,,,0.98,,,,,,,,,,,2.74,,,,,,,,,,,,,,,,,0.53,,,,,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,2.58,3.82,1.63,,,,,,,,,,,,,,,,,2.25,,
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55,,,,,,,,,,,,,,,,,,,2.83,
Sweden,,,,,,,,,,,,,,,,,,0.68,0.57,0.52,0.51,0.47,0.49,0.57,0.58,0.63,0.61,0.53,0.58,0.69,0.26,0.5,0.45,0.37,0.4,0.32,0.23,0.28,0.28,0.24,0.23,0.2,0.26,0.21,0.23,0.25,0.27,0.26
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,4.63,4.48,4.1,4.06,3.56,3.43,3.38,3.09,2.79,2.9,3.23,3.18,2.56,2.72,2.48,2.79,2.67,2.66,2.61,2.54,2.46,2.55
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.1,,,,,18.8,19.1,16.7,11.4,11.2,8.17,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5,,,,,,0.28,,,,,,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,2.38,,,,,13,,,,,42.9,,38.4,50.3,,,
Thailand,,,,,,,,,,,,,,,,,,54.6,58.1,58.5,56.1,53.2,53.5,49.6,48.6,46.5,44.4,45.1,43.6,40.3,39.8,35.9,37.4,35.2,31.4,30.8,30.5,29.9,31.1,28.5,29,32,32.2,22.8,25.3,23.7,22.8,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.4,,,23.8,,,,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4,,,,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,8.83,8.59,8.92,6.55,6.27,6.18,6.93,6.76,5.97,4.27,4.23,4.03,3.46,2.9,2.18,1.94,1.97,1.77,1.74,,,,1.34,1.38,1.44,0.99,0.98,0.67,0.56,0.79,
Tunisia,,,,,,,,,,,,,,,,,,,,21.8,,,,,0.85,,,,,,,,,,,12.9,14.1,10.3,7.24,7.41,11.7,7.99,6.92,6.29,,,,
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.1,53.3,49.6,49,49.8,41.7,35.4,34.7,34.5,34.8,35.2,35.4,33.6,31.4,29.4,28.2,26.4,25.9
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.3,40.5,,,,,,4.68,,,19.6,30.2,,,,13.3
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.18,0.32,0.24,1.26,1.47,1.75,2.29,2.03,0.56,0.46,0.34,0.31,0.34,0.29,0.36,0.37,0.31,0.25,0.3,0.27,0.24,0.26
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.02,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,1.1,0.94,0.84,0.84,0.72,0.67,0.61,0.53,0.58,0.48,0.51,0.42,0.45,0.45,0.44,0.46,0.47,0.39,0.41,0.47,0.46,0.49,0.43,0.38,0.42,0.43
United States,,,,,,,1.79,1.82,1.67,1.52,1.32,1.21,1.19,1.09,0.94,0.8,0.69,0.63,0.62,0.62,0.5,0.49,0.49,0.43,0.21,0.18,0.2,0.19,0.15,0.14,0.14,0.14,0.12,0.13,0.12,0.12,0.11,0.13,0.11,0.08,0.1,0.1,0.09,0.08,0.08,0.09,0.07,0.07
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.57,2.53,2.33,2.42,1.39,2.01,2.72,2.16,3.41,2.96,2.44,2.82,2.01,2.05,1.88,1.79,1.42,1.35,1.34,1.02
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.21,,,,,,,,
Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,1.24,1.4,1.19,0.94,1.59,2.45,2.28,3.27,3.79,3.9,2.88,3.67,2.53,1.8,2,1.84,1.44,1.68,1.73,0.93,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,61.5,55.9,53.2,54.1,53.1,52.9,52.6,50.3,47.2,,,13.9,,22.2,26.2,24.8,23.1,22.6,26.5,23.3,22.1,21.4
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,38.5,,,
Zambia,,,,,,,,,,,,,,,,,,,,,55.9,45.6,,,,,43.2,,39.4,,61.8,,,,,,,,,,,,52,,,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,20.5,,,15.9,,16.1,,,13.6,,,,,,,,,1.17,11.2,,1.8,,,
